🌐 COUNTRY                   | ☣️  💀  💙  💔
🇺🇸 United States            | 108907214  1178704  106754190  1573
🇮🇳 India                    | 44999438  531930  44467055  0
🇫🇷 France                   | 40138560  167642  39970918  869
🇩🇪 Germany                  | 38512636  176289  38240600  0
🇧🇷 Brazil                   | 37849919  706142  36249161  0
🇰🇷 South Korea              | 34571873  35934  34535939  231
🇯🇵 Japan                    | 33803572  74694  0  83
🇮🇹 Italy                    | 26126792  191852  25774213  48
🇬🇧 United Kingdom           | 24743787  229765  24492734  0
🇷🇺 Russia                   | 23061960  400102  22498445  0
🇹🇷 Turkey                   | 17232066  102174  0  0
🇪🇸 Spain                    | 13914811  121760  13762417  231
🇦🇺 Australia                | 11776670  22819  11747172  21
🇻🇳 Vietnam                  | 11623938  43206  10640896  2
🇹🇼 Taiwan                   | 10241523  19005  10222518  0
🇦🇷 Argentina                | 10075418  130644  9942790  363
🇳🇱 Netherlands              | 8618815  22992  8595064  53
🇲🇽 Mexico                   | 7649199  334472  6899865  0
🇮🇷 Iran                     | 7617752  146410  7377233  18
🇮🇩 Indonesia                | 6813429  161918  6646827  0
🇵🇱 Poland                   | 6525754  119655  5335940  53
🇨🇴 Colombia                 | 6382968  143042  6202246  342
🇬🇷 Greece                   | 6101379  37089  6064290  115
🇦🇹 Austria                  | 6081287  22542  6054934  14
🇵🇹 Portugal                 | 5627747  27573  5592855  61
🇺🇦 Ukraine                  | 5557995  112418  5445577  0
🇨🇱 Chile                    | 5295370  64497  5230670  21
🇲🇾 Malaysia                 | 5127616  37177  5078992  4
🇮🇱 Israel                   | 4839886  12691  4798473  21
🇧🇪 Belgium                  | 4819546  34376  4778020  43
🇹🇭 Thailand                 | 4757604  34480  4692636  0
🇨🇦 Canada                   | 4738938  53936  4664482  99
🇨🇿 Czechia                  | 4656531  42873  4608625  14
🇵🇪 Peru                     | 4519976  222161  4297815  4
🇨🇭 Switzerland              | 4415642  14452  4396008  39
🇵🇭 Philippines              | 4174101  66643  4103828  162
🇿🇦 South Africa             | 4076463  102595  3912506  192
🇷🇴 Romania                  | 3468372  68372  3386835  82
🇩🇰 Denmark                  | 3183756  8814  3174942  4
🇭🇰 Hong Kong                | 2921527  14274  2903673  28
🇸🇪 Sweden                   | 2718172  24922  2691584  1
🇸🇬 Singapore                | 2603819  1885  2149583  3
🇷🇸 Serbia                   | 2563994  18057  2534121  0
🇳🇿 New Zealand              | 2474005  4872  2467063  0
🇮🇶 Iraq                     | 2465545  25375  2439497  21
🇭🇺 Hungary                  | 2206311  48881  2152155  2
🇧🇩 Bangladesh               | 2045789  29477  1998448  0
🇸🇰 Slovakia                 | 1867799  21167  1846358  3
🇬🇪 Georgia                  | 1855289  17132  1776548  0
🇯🇴 Jordan                   | 1746997  14122  1731007  59
🇮🇪 Ireland                  | 1722546  9293  1710417  19
🇵🇰 Pakistan                 | 1581883  30664  1538689  0
🇳🇴 Norway                   | 1489076  5705  1482987  20
🇫🇮 Finland                  | 1487090  10321  1475199  21
🇰🇿 Kazakhstan               | 1411831  13848  1383020  24
