DEFI
rank  coin          $    24h%
67     MKR   1,754.89  -2.50%
94     LRC     0.8069  -2.33%
104    SNX       3.98  -1.96%
108   COMP     113.52  -1.03%
110    YFI  20,779.00   0.93%
130    BNT       2.28  -0.30%
148    ZRX     0.5571  -1.79%
291   BAND       4.11  -9.93%
298    NMR      28.07  -1.24%
344    BAL      12.63  -0.27%
375    KNC       1.89  -4.15%
464   FUSE     0.4993   9.45%
470   LEND       1.50  -0.32%
478   BZRX     0.1879  16.59%
554    DNT     0.0732   1.07%
606   NEST     0.0227   7.16%
627    PNK     0.0822   1.16%
753    DXD     532.32   0.02%
854    PNT     0.5926  -0.73%
867    MTA     0.6592   0.76%
1012    MCB       3.67   0.22%
1112    JRT     0.0490   6.54%
1283    NEC     0.0460 -17.52%
2005    GEN     0.0350  -0.22%
2362    AUC     0.0245   1.66%
3615    DGD     0.0000   0.00%
