  488 🔑|   819 💦|     1 💫
  111 🍺|     5 💉|     2 📕
    4 🛌|     2 💊|    21 🧃
 1101 📜|  2627 🍃|    27 ❄️
   19 🟣|    12 🔴|    10 🔵
   25 🟢|  6311 💰|     1 🎲
    2 👝|     1 🏆|    14 🧱
  311 🚬|     7 😷|     1 🪖
    1 🐈|     1 📻|    35 💠
    1 📘|     6 👛|     1 🍓
    1 🍹|     1 🤖|     1 🔌
    1 🚰|     1 📓|     1 🎩
    1 🎱|     1 🧿|     8 ⛄️
    1 🥼|     4 👓|     3 🧤
    1 🧴|     1 🎄|     2 🇺🇦
    1 🇰🇿|     1 🇺🇿|     3 🇷🇺
    2 🏳️‍🌈|     1 🇬🇧|     1 🇹🇯
    1 🇫🇷|     1 🇯🇵|     1 🇧🇾
    1 🇺🇸|     1 🇨🇿|     1 🇨🇭
    1 🇲🇻|     1 🇹🇲|     1 🇮🇪
    1 🇦🇺|     1 🇸🇪|     1 🇨🇺
    1 🇦🇫|     1 🇦🇿|     1 🇬🇪
    1 🇪🇬|     1 🇵🇱|     1 🇰🇷
    1 🥳|    91 🕳|
