  💎     bid  %      os%  rv
----  ------  ---  -----  ----
2137    2.65  13%     50  4.4x
9939    2.91  8%      50  1.6x
6127   14.98  9%      50  1.5x
6660   12.54  4%      50  1.5x
1415   16.78  7%      37  1.1x
1952   27.95  15%      0  1.1x
6185   25.5   8%      50  1.0x
* 1341    0.92  4%      13  1.0x
2382   55.9   6%      50  0.9x
9926   38.6   6%      50  0.9x
9626  111.6   5%      50  0.9x
9966    9.74  6%      50  0.7x
 268    9.84  5%      50  0.7x
3759   19.3   9%      50  0.7x
3347   43.4   8%      50  0.7x
