 거래량 급등 급상승 코인
Coin  |close  |high   |low    |index|
-------------------------------- 
IDEX  |0.04232|0.04842|0.04232|-0|
ENJ   |0.2129 |0.2377 |0.2129 |-0|
RAD   |1.216  |1.36   |1.216  |-0|
AVAX  |9.16   |11.51  |9.16   |-0|
CVX   |2.618  |2.87   |2.618  |-0|
RUNE  |1.556  |1.8    |1.556  |-0|
CHZ   |0.0548 |0.0609 |0.0548 |-0|
SOL   |21.65  |23.87  |21.61  |-1|
HIFI  |0.5891 |0.7126 |0.5861 |-1|
ASTR  |0.0416 |0.0469 |0.0413 |-1|
UMA   |1.257  |1.363  |1.256  |-1|
SKL   |0.02004|0.02209|0.01991|-1|
XVG   |0.003105|0.003416|0.003092|-1|
LRC   |0.1647 |0.1779 |0.1644 |-1|
ARK   |0.4492 |0.5608 |0.4467 |-1|
ENS   |7.06   |7.74   |7.04   |-1|
BAND  |1.01   |1.103  |1.007  |-1|
FLOW  |0.413  |0.449  |0.412  |-1|
DENT  |0.000567|0.000612|0.000566|-1|
RDNT  |0.2133 |0.2446 |0.2122 |-1|
ZEN   |7.25   |8.21   |7.23   |-1|
KNC   |0.635  |0.716  |0.634  |-1|
ONT   |0.1571 |0.1732 |0.1565 |-1|
LIT   |0.638  |0.734  |0.637  |-1|
CKB   |0.00258|0.002816|0.002576|-1|
TRU   |0.0332 |0.0399 |0.0331 |-1|
CTK   |0.417  |0.453  |0.415  |-2|
SFP   |0.5931 |0.6349 |0.5893 |-2|
STORJ |0.4029 |0.5386 |0.4023 |-2|
XEM   |0.02448|0.0258 |0.02446|-2|
CELO  |0.408  |0.444  |0.407  |-2|
AR    |3.82   |4.08   |3.79   |-2|
SXP   |0.2606 |0.2943 |0.2601 |-2|
RLC   |0.944  |1.018  |0.943  |-2|
ALPHA |0.0689 |0.0752 |0.0688 |-2|
KEY   |0.005037|0.005865|0.005  |-2|
PENDLE|0.5992 |0.7067 |0.5919 |-2|
RVN   |0.01359|0.01491|0.01356|-2|
GTC   |0.835  |0.915  |0.829  |-2|
BAT   |0.1668 |0.1848 |0.1666 |-2|
SPELL |0.0004405|0.0004925|0.0004392|-3|
DYDX  |1.849  |2.093  |1.842  |-3|
PEOPLE|0.00867|0.00962|0.00865|-3|
BEL   |0.5331 |0.5979 |0.532  |-3|
LTC   |61.05  |66.17  |60.82  |-3|
AAVE  |62.84  |69.07  |62.65  |-3|
HIGH  |1.111  |1.215  |1.108  |-4|
REEF  |0.001211|0.001354|0.001206|-4|
ANKR  |0.01862|0.02029|0.01855|-4|
QTUM  |2.078  |2.281  |2.072  |-4|
EDU   |0.3959 |0.4524 |0.3934 |-4|
