{'code': '320938', 'fops': '2700.8', 'sops': '0.0', 'pnl': 1104777, 'ret': 78}
{'code': '315688', 'fops': '458280.0', 'sops': '0.0', 'pnl': 613687, 'ret': 43}
{'code': '315291', 'fops': '11159251.0', 'sops': '0.0', 'pnl': 368524, 'ret': 13}
{'code': '322292', 'fops': '441133.0', 'sops': '0.0', 'pnl': 341112, 'ret': 101}
{'code': '323684', 'fops': '2853590.0', 'sops': '0.0', 'pnl': 312792, 'ret': 2}
{'code': '314792', 'fops': '509029.0', 'sops': '0.0', 'pnl': 266410, 'ret': 6}
{'code': '315274', 'fops': '461417.0', 'sops': '0.0', 'pnl': 244612, 'ret': 186}
{'code': '318743', 'fops': '1743736.0', 'sops': '0.0', 'pnl': 234246, 'ret': 6}
{'code': '315138', 'fops': '3971580.0', 'sops': '0.0', 'pnl': 211945, 'ret': 9}
{'code': '315748', 'fops': '228933.0', 'sops': '0.0', 'pnl': 190183, 'ret': 23}
{'code': '322349', 'fops': '171433.0', 'sops': '0.0', 'pnl': 188406, 'ret': 16}
{'code': '316660', 'fops': '490325.3', 'sops': '0.0', 'pnl': 186967, 'ret': 22}
{'code': '315129', 'fops': '59763.0', 'sops': '0.0', 'pnl': 165313, 'ret': 6}
{'code': '315100', 'fops': '915160.0', 'sops': '0.0', 'pnl': 157659, 'ret': 7}
{'code': '315821', 'fops': '365055.0', 'sops': '0.0', 'pnl': 157459, 'ret': 100}
{'code': '322642', 'fops': '131240.0', 'sops': '0.0', 'pnl': 142192, 'ret': 3}
{'code': '315151', 'fops': '4325.0', 'sops': '0.0', 'pnl': 139821, 'ret': 8}
{'code': '323648', 'fops': '6013.0', 'sops': '0.0', 'pnl': 115167, 'ret': 8}
{'code': '320955', 'fops': '137244.0', 'sops': '0.0', 'pnl': 104836, 'ret': 900}
{'code': '323576', 'fops': '49826.0', 'sops': '0.0', 'pnl': 92305, 'ret': 2}
