 Ticker  Funding   ΔOI %   SL%
  STORJ   -0.343    8.00  4.19
    ENJ   -0.225   23.93  2.35
    CVX   -0.126   36.74  1.24
    OGN   -0.052   -6.46  4.60
    XTZ   -0.036  173.65  3.89
 PENDLE   -0.035   -6.45  1.77
    BNT   -0.027  -34.60  4.70
      T   -0.026  -32.11  2.02
   LUNC   -0.024   18.86  1.65
   KAVA   -0.022    6.56  1.56
    WLD   -0.022   -2.58  2.01
   DENT   -0.022   -2.69  1.74
    DOT   -0.021    7.06  1.07
    SEI   -0.019   -4.37  1.47
   IOTX   -0.017  -25.53  2.25
  AUDIO   -0.015    3.71  1.35
    SKL   -0.013   -5.73  1.26
   EGLD   -0.013    9.04  1.28
    QNT   -0.013   19.03  1.16
    ZEN   -0.012   13.37  1.62
