 거래량 급등 급상승 코인
Coin  |close  |high   |low    |index|
-------------------------------- 
DYDX  |1.817  |2.093  |1.816  |-1|
BAL   |2.983  |3.23   |2.981  |-1|
RLC   |0.933  |1.018  |0.929  |-1|
ETC   |14.72  |15.7   |14.7   |-2|
API3  |0.998  |1.133  |0.993  |-2|
RNDR  |1.715  |1.855  |1.707  |-2|
FLOW  |0.413  |0.447  |0.412  |-2|
WLD   |1.442  |1.644  |1.434  |-2|
LINK  |7.149  |7.833  |7.124  |-3|
SSV   |13.66  |16.54  |13.64  |-3|
SNX   |1.843  |2.028  |1.841  |-3|
DASH  |24.98  |26.91  |24.94  |-3|
COMP  |40.26  |44.16  |40.12  |-3|
SOL   |21.16  |23.57  |21.1   |-4|
ONT   |0.1572 |0.1732 |0.1565 |-4|
