|Ticker| 🗓️Pg  |Tipo| Valor  |
|------|:-----:|---:|-------:|
|CRFF  | 11-10 |R   |R$ 0,63
|CXRI  | 11-10 |R   |R$ 0,58
|HABT  | 11-10 |R   |R$ 1,00
|HGIC  | 11-10 |R   |R$ 1,06
|KNHF  | 11-10 |R   |R$ 0,84
|KNUQ  | 11-10 |R   |R$ 0,77
|TMPS  | 11-10 |R   |R$ 0,80
|ZAVI  | 11-10 |R   |R$ 1,16
|RSPD  | 13-10 |R   |R$ 33,78
|VCJR  | 13-10 |R   |R$ 0,65
|VCRA  | 13-10 |R   |R$ 1,10
|VRTA  | 13-10 |R   |R$ 0,70
|RCRB  | 13-10 |R   |R$ 0,78
|RBIR  | 13-10 |R   |R$ 2,02
|RBOP  | 13-10 |R   |R$ 2,40
|RBTS  | 13-10 |R   |R$ 78,83
|RPRI  | 13-10 |R   |R$ 0,80
|ONEF  | 13-10 |R   |R$ 1,02
|RBFF  | 13-10 |R   |R$ 0,51
|KNHY  | 13-10 |R   |R$ 0,90
|KNIP  | 13-10 |R   |R$ 0,60
|KNCA  | 13-10 |R   |R$ 1,10
|KNCR  | 13-10 |R   |R$ 1,10
|KNSC  | 13-10 |R   |R$ 0,75
|GESE  | 13-10 |R   |R$ 14,23
|KCRE  | 13-10 |R   |R$ 0,57
|CXTL  | 13-10 |R   |R$ 1,60
|CXCE  | 13-10 |R   |R$ 0,38
|DLMT  | 13-10 |R   |R$ 0,01
|DRIT  | 13-10 |R   |R$ 0,35
|BRCO  | 13-10 |R   |R$ 0,87
|BBFI  | 13-10 |R   |R$ 7,59
|BCRI  | 13-10 |R   |R$ 0,70
|BICR  | 16-10 |A   |R$ 36,00
|BICR  | 16-10 |R   |R$ 0,73
|BIME  | 16-10 |R   |R$ 0,08
|AAZQ  | 16-10 |R   |R$ 0,12
|AGRX  | 16-10 |R   |R$ 0,15
|ARXD  | 16-10 |R   |R$ 1,10
|BBFO  | 16-10 |R   |R$ 0,61
|BBGO  | 16-10 |R   |R$ 0,75
|BBIM  | 16-10 |R   |R$ 0,10
|BBPO  | 16-10 |R   |R$ 0,90
|BBRC  | 16-10 |R   |R$ 1,13
|BCFF  | 16-10 |R   |R$ 0,56
|BRCR  | 16-10 |R   |R$ 0,41
|BRIM  | 16-10 |R   |R$ 35,73
|BRIP  | 16-10 |R   |R$ 9,28
|BTCI  | 16-10 |R   |R$ 0,10
|BTHI  | 16-10 |R   |R$ 0,42
|BTSG  | 16-10 |R   |R$ 0,92
|BTWR  | 16-10 |R   |R$ 0,55
|CBOP  | 16-10 |R   |R$ 0,12
|CEOC  | 16-10 |R   |R$ 0,43
|CJCT  | 16-10 |R   |R$ 0,08
|BLMG  | 16-10 |R   |R$ 0,68
|BLMO  | 16-10 |R   |R$ 102,00
|BLMR  | 16-10 |R   |R$ 0,05
