 거래량 급등 급상승 코인
Coin  |close  |high   |low    |index|
-------------------------------- 
GLMR  |0.1806 |0.2176 |0.1806 |-0|
ICX   |0.1644 |0.187  |0.1644 |-0|
IOST  |0.00675|0.00719|0.00675|-0|
SSV   |13.8   |16.54  |13.8   |-0|
HBAR  |0.0459 |0.0486 |0.0459 |-0|
GMT   |0.1406 |0.1542 |0.1406 |-0|
SEI   |0.1017 |0.1178 |0.1017 |-0|
BLZ   |0.1169 |0.1415 |0.1169 |-0|
CTK   |0.419  |0.453  |0.418  |-1|
EOS   |0.535  |0.578  |0.533  |-1|
IDEX  |0.04385|0.04842|0.04371|-1|
MDT   |0.04142|0.04625|0.04137|-1|
ZEC   |24.91  |27.52  |24.88  |-1|
XRP   |0.4866 |0.5285 |0.4836 |-1|
AVAX  |9.3    |11.51  |9.29   |-1|
ENS   |7.08   |7.75   |7.07   |-1|
IMX   |0.5092 |0.566  |0.5086 |-1|
BEL   |0.539  |0.6014 |0.5373 |-1|
CYBER |4.435  |5.232  |4.434  |-1|
LPT   |5.64   |6.31   |5.63   |-1|
NMR   |11.99  |13.69  |11.98  |-1|
GTC   |0.851  |0.915  |0.848  |-1|
BTC   |27072.0|28076.51|27016.05|-2|
REN   |0.043108|0.048149|0.043014|-2|
BICO  |0.2027 |0.2378 |0.2022 |-2|
HIFI  |0.5973 |0.7126 |0.5953 |-2|
DOT   |3.749  |4.112  |3.74   |-2|
ALICE |0.653  |0.713  |0.652  |-2|
KAVA  |0.583  |0.628  |0.581  |-2|
WAVES |1.44   |1.555  |1.436  |-2|
JOE   |0.2304 |0.2799 |0.2302 |-2|
AGLD  |0.543  |0.604  |0.54   |-2|
ONE   |0.00889|0.0095 |0.00883|-2|
LIT   |0.652  |0.734  |0.649  |-2|
APT   |4.7938 |5.3512 |4.7876 |-2|
FRONT |0.2956 |0.3388 |0.2949 |-2|
SUI   |0.4083 |0.4586 |0.4069 |-2|
AXS   |4.19   |4.53   |4.17   |-3|
AGIX  |0.16518|0.18313|0.16473|-3|
YFI   |5095.0 |5455.0 |5060.0 |-3|
ASTR  |0.0425 |0.0469 |0.0424 |-3|
ENJ   |0.2156 |0.2377 |0.2148 |-3|
ARKM  |0.3294 |0.3838 |0.3286 |-3|
XVG   |0.003203|0.003416|0.003189|-3|
CELO  |0.411  |0.445  |0.409  |-3|
ARK   |0.4597 |0.5872 |0.4589 |-3|
ATOM  |6.538  |7.21   |6.488  |-3|
REEF  |0.001216|0.001357|0.001213|-3|
RDNT  |0.2146 |0.246  |0.214  |-3|
KNC   |0.646  |0.725  |0.644  |-3|
EDU   |0.39925|0.4524 |0.39638|-3|
FTM   |0.1798 |0.1965 |0.1791 |-3|
NEAR  |1.024  |1.108  |1.021  |-3|
SPELL |0.0004468|0.0004925|0.0004458|-4|
CHR   |0.0871 |0.0979 |0.0867 |-4|
MINA  |0.354  |0.395  |0.352  |-4|
SKL   |0.02068|0.02209|0.02063|-4|
BAL   |3.038  |3.323  |3.033  |-4|
THETA |0.586  |0.63   |0.583  |-4|
KSM   |16.97  |18.35  |16.94  |-4|
SXP   |0.2686 |0.2943 |0.2676 |-4|
CVX   |2.648  |2.88   |2.639  |-4|
ANKR  |0.01875|0.02029|0.01861|-4|
QTUM  |2.099  |2.281  |2.089  |-4|
GAL   |1.141  |1.214  |1.139  |-4|
ETH   |1556.62|1653.64|1552.04|-4|
ADA   |0.2469 |0.2663 |0.2456 |-4|
