#  | WPC        | Token | Gas  | Bribe | Total | Max   | WPC  | Worth
   | (%)        | Cost  | Cost |       | Spent | Spend | Bal
---|------------|-------|------|-------|-------|-------|------|------
0  | 8B (100%)  | .000  | .013 | .000  | .013  | .000  | 180M | 3.03 
1  | 64M (.80%) | .014  | .001 | .137  | .153  | .100  | 0    | 0    
2  | 64M (.80%) | .015  | .001 | .112  | .129  | .075  | 0    | 0.00 
3  | 64M (.80%) | .016  | .001 | .089  | .106  | .200  | 0    | 0    
4  | 64M (.80%) | .016  | .001 | .089  | .107  | .200  | 104M | 1.74 
5  | 64M (.80%) | .017  | .001 | .086  | .104  | .150  | 0    | 0    
6  | 64M (.80%) | .017  | .001 | .080  | .099  | .100  | 0    | 0.00 
7  | 64M (.80%) | .018  | .001 | .080  | .099  | .100  | 0    | 0    
8  | 64M (.80%) | .018  | .001 | .080  | .100  | .100  | 0    | 0.00 
9  | 64M (.80%) | .019  | .001 | .080  | .101  | .100  | 0    | 0    
10 | 64M (.80%) | .020  | .001 | .080  | .101  | .030  | 0    | 0    
11 | 64M (.80%) | .020  | .001 | .080  | .102  | .100  | 0    | 0.00 
12 | 64M (.80%) | .021  | .001 | .073  | .096  | .120  | 0    | 0    
13 | 64M (.80%) | .022  | .001 | .067  | .090  | .150  | 0    | 0    
14 | 64M (.80%) | .023  | .001 | .067  | .091  | .150  | 0    | 0    
15 | 64M (.80%) | .023  | .001 | .065  | .090  | .100  | 0    | 0    
16 | 64M (.80%) | .024  | .001 | .065  | .091  | .100  | 0    | 0    
17 | 79M (.99%) | .027  | .001 | .064  | .092  | .090  | 0    | 0    
18 | 79M (.99%) | .029  | .001 | .061  | .092  | .150  | 0    | 0    
19 | 79M (.99%) | .030  | .001 | .061  | .093  | .150  | 0    | 0    
20 | 79M (.99%) | .032  | .001 | .061  | .094  | .100  | 0    | 0.00 
21 | 79M (.99%) | .033  | .001 | .061  | .095  | .110  | 0    | 0    
22 | 79M (.99%) | .034  | .001 | .060  | .096  | .100  | 0    | 0    
23 | 79M (.99%) | .036  | .001 | .055  | .092  | .088  | 0    | 0    
24 | 79M (.99%) | .037  | .001 | .055  | .094  | .088  | 0    | 0    
25 | 79M (.99%) | .039  | .001 | .055  | .096  | .150  | 0    | 0    
26 | 79M (.99%) | .041  | .001 | .055  | .098  | .088  | 0    | 0    
27 | 79M (.99%) | .045  | .001 | .052  | .099  | .150  | 0    | 0    
28 | 79M (.99%) | .050  | .001 | .051  | .103  | .100  | 0    | 0    
29 | 79M (.99%) | .053  | .001 | .051  | .105  | .099  | 0    | 0    
30 | 79M (.99%) | .055  | .001 | .051  | .108  | .099  | 0    | 0    
31 | 79M (.99%) | .070  | .001 | .050  | .121  | .099  | 0    | 0    
32 | 79M (.99%) | .074  | .001 | .050  | .126  | .099  | 0    | 0    
33 | 79M (.99%) | .079  | .001 | .050  | .131  | .099  | 0    | 0    
34 | 79M (.99%) | .084  | .001 | .050  | .136  | .149  | 0    | 0    
35 | 27M (.33%) | .030  | .002 | .030  | .061  | .030  | 0    | 0    
36 | 60M (.75%) | .069  | .002 | .030  | .101  | .069  | 0    | 0    
37 | 79M (.99%) | .098  | .001 | .028  | .127  | .099  | 0    | 0    
38 | 68M (.85%) | .089  | .002 | .020  | .111  | .089  | 14M  | 0.24 
39 | 43M (.53%) | .059  | .002 | .020  | .081  | .059  | 0    | 0    
40 | 21M (.26%) | .030  | .002 | .006  | .037  | .030  | 12M  | 0.21 
41 | 79M (.99%) | .119  | .005 | .000  | .124  | .150  | 0    | 0    
42 | 8M (.10%)  | .013  | .005 | .000  | .019  | .013  | 0    | 0.00 
43 | 79M (.99%) | .144  | .008 | .000  | .152  | .158  | 0    | 0    
44 | 14M (.17%) | .030  | .002 | .000  | .032  | .030  | 0    | 0.00 
45 | 2M (.03%)  | .005  | .002 | .000  | .007  | .005  | 0    | 0.00 
46 | 44M (.54%) | .100  | .011 | .000  | .111  | .100  | 0    | 0.00 
47 | 68M (.85%) | .176  | .003 | .000  | .179  | .176  | 64M  | 1.08 
48 | 7M (.09%)  | .020  | .002 | .000  | .022  | .020  | 0    | 0.00 
49 | 34M (.43%) | .100  | .002 | .000  | .102  | .100  | 0    | 0.00 
50 | 57M (.71%) | .176  | .002 | .000  | .177  | .176  | 0    | 0.00
