ACEH       = Bank Aceh
ALADINS    = Bank Aladin Syariah 
ALLO       = Bank ALLO
ALTO       = Alto Pay
ALTOCASH   = Alto Cash
ALTOREMIT  = ALTO REMIT
AMAR       = Amar Bank
ANTAR      = Bank Antar Daerah
ANZ        = BANK ANZ INDONESIA
ARTHA      = Bank Artha Graha Internasional
ATMB       = ATMB Plus
ATMPRIMA   = ATM Prima
BALI       = BPD Bali
BANTEN     = Bank Banten
BCA        = BCA
BCAD       = Bank BCA Digital
BCAS       = BCA Syariah
BENGKULU   = Bank Bengkulu
BJB        = Bank BJB
BJBS       = Bank BJB Syariah
BNI        = Bank BNI
BOCI       = Bank of China Indonesia (BOCI)
BPRKS      = BPR KS
BPRSUPRA   = BPR SUPRA
BRI        = BRI
BSG        = Bank BSG
BSI        = Bank BSI
BTN        = Bank BTN
BTPN       = Bank BTPN
BTPNS      = Bank BTPN Syariah
BUKOPIN    = Bank Bukopin
BUKOPINS   = Bank Bukopin Syariah
BUMI       = Bank Bumi Arta Indonesia
CCB        = Bank CCB Indonesia
CIMB       = CIMB Niaga
CITIBANK   = Citibank
CTBC       = Bank CTBC Indonesia
DANAMON    = Danamon
DBS        = DBS
DIY        = BPD DIY
DKI        = Bank DKI
EKA        = Bank EKA
FINNET     = Finnet
GANESHA    = Bank Ganesha
HANA       = Bank Hana
HSBC       = HSBC
IBK        = Bank IBK
ICBC       = Bank ICBC
IMKAS      = IMkas
INA        = Bank INA Perdana
INDEX      = Bank Index Selindo
INDIA      = Bank India (Swadesi)
INTIDANA   = KOP Intidana
ISO        = ISO Remit
JAGO       = Bank Jago
JAKARTA    = Bank Jasa Jakarta
JAMBI      = Bank Jambi
JATENG     = Bank Jateng
JATIM      = Bank Jawa Timur
JATNIKA    = BPR Jatnika
JTRUST     = Bank JTrust
KALBAR     = Bank Kalimantan Barat
KALSEL     = Bank Kalsel
KALTENG    = Bank Kalteng
KALTIMTARA = Bank Kaltimtara
KRYJATNIKA = BPR KRYJATNIKA SDY
LAMPUNG    = Bank Lampung
LINKAJA    = LinkAja
MALUKU     = BANK MALUKU
MANDIRI    = Bank Mandiri
MANDIRIT   = BANK MANDIRI TASPEN
MASPION    = Bank Maspion
MAYAPADA   = Bank Mayapada
MAYBANK    = Maybank
MAYORA     = Bank Mayora
MEGA       = Bank Mega
MEGAS      = Bank Mega Syariah
MESTIKA    = Bank Mestika Dharma
MNC        = Bank MNC
MUAMALAT   = Bank Muamalat
MULTIARTA  = Bank Multiarta Sentosa
NAGARI     = Bank Nagari
NC         = Bank Neo Commerce
NEO        = Bank NEO Commerce
NOBU       = Bank Nobu
NTB        = Bank NTB
NTT        = Bank NTT
OCBC       = OCBC NISP
OKE        = OKE Bank
PANIN      = Panin Bank
PANINS     = BAnk Panin Dubai Syariah
PAPUA      = Bank Papua
PDS        = Bank Panin Dubai Syariah
PERMATA    = PermataBank
PRIMA      = Bank Prima Master
QNB        = Bank QNB Indonesia
RAYA       = Bank Raya Indonesia
RIAU       = Bank Riau
SAHABAT    = Bank Sahabat Sampoerna
SBI        = Bank SBI
SEABANK    = SEABANK
SGOD       = SGOD Pay
SHINHAN    = Bank Shinhan
SINARMAS   = Bank Sinarmas
STANDARD   = Standard Chartered
SULSELBAR  = Bank Sulselbar
SULTENG    = Bank Sulteng
SULTRA     = Bank Sultra
SUMUT      = Bank Sumatra Utara
SUPRA      = Bank BPR Supra
TOKYO      = Bank of Tokyo - MItsubishi
UOB        = UOB
VICTORIA   = Bank Victoria Internasional
VICTORIAS  = Bank Victoria Syariah
WOORI      = Bank Woori Bersaudara



