 거래량 급등 급상승 코인
Coin  |close  |high   |low    |index|
-------------------------------- 
WOO   |0.1684 |0.1863 |0.1684 |-0|
RLC   |0.956  |1.032  |0.956  |-0|
JASMY |0.003132|0.003362|0.003132|-0|
FXS   |5.182  |5.644  |5.182  |-0|
EGLD  |22.87  |24.73  |22.85  |-1|
ENJ   |0.2178 |0.2377 |0.2177 |-1|
AUDIO |0.1377 |0.1469 |0.1376 |-1|
ALICE |0.683  |0.713  |0.679  |-2|
BAL   |3.039  |3.323  |3.033  |-2|
BEL   |0.5472 |0.6014 |0.5458 |-2|
RDNT  |0.2207 |0.246  |0.2198 |-2|
JOE   |0.2364 |0.2799 |0.2363 |-2|
BLZ   |0.1292 |0.1415 |0.1285 |-2|
GALA  |0.01335|0.01566|0.01332|-3|
PEOPLE|0.00898|0.00962|0.00892|-3|
BAND  |1.046  |1.124  |1.043  |-3|
CVX   |2.706  |2.916  |2.702  |-3|
FTM   |0.182  |0.2019 |0.1811 |-3|
SOL   |22.07  |23.87  |21.95  |-4|
UMA   |1.3    |1.363  |1.291  |-4|
LINK  |7.269  |7.833  |7.252  |-4|
MATIC |0.5282 |0.5771 |0.5226 |-4|
ALGO  |0.0965 |0.1028 |0.0957 |-4|
DAR   |0.08107|0.08957|0.08064|-4|
CRV   |0.4484 |0.4818 |0.4455 |-4|
AAVE  |63.21  |70.92  |62.99  |-4|
RVN   |0.01415|0.01492|0.01405|-4|
ID    |0.17885|0.19553|0.17845|-4|
XTZ   |0.661  |0.685  |0.641  |^3|
