  🔥     bid  %2d    %    rv
----  ------  -----  ---  ----
* 8547   0.247  37%    5%   0.0x
* 1478   3.97   28%    2%   0.0x
* 9857   9.9    24%    13%  0.0x
* 2382  63.9    21%    8%   0.1x
* 3377   0.465  21%    4%   0.0x
 * 484   0.8    20%    13%  0.0x
 * 464   0.255  17%    5%   0.3x
* 1778   0.36   17%    11%  0.3x
* 6696   0.32   14%    10%  0.5x
 * 268  10.1    13%    4%   0.0x
* 1380  -1      13%    8%   0.0x
* 2359  98.5    12%    5%   0.1x
* 6639   7.91   11%    5%   0.0x
 * 340   0.42   11%    7%   0.0x
 * 921  20.25   10%    7%   0.2x
