  666 🔑|   666 💦|     3 💫
 1488 🍺|    66 💉|   150 📕
   44 🛌|     6 💊|    11 🧃
   22 🫖|   463 📜|   434 🍃
   88 🥕|    44 🌫|   444 ❄️
   22 🟣|    22 🔴|    22 🟡
   22 🟠|   122 🔵|    22 🟢
   22 🔘|   222 💜|    22 🟪
53475 💰|    22 🎲|     6 👝
    2 💩|     2 🏆|     2 🍬
   22 🧱|   555 🚬|     3 🔎
 1655 🆎|    10 😷|     1 🐈
    2 📻|     4 💠|    22 📘
    5 👛|     1 🍹|     2 🤖
    1 🔌|     1 📓|     1 🎱
    1 🧿|    32 ⛄️|     1 🥼
    8 👓|     2 🧤|     2 🇺🇦
    2 🇷🇺|    14 🏳️‍🌈|     2 🇬🇧
   10 🇫🇷|     3 🇯🇵|     2 🇲🇻
    2 🇮🇪|     2 🇸🇪|     2 🇦🇫
    2 🎂|     2 🥳|    61 🕳
