----------------------------
🔸 Dividendos Ant. VIUR11 🔸
----------------------------
dataCom  dataPag  Valor divYet
30/06/21 15/07/21 R$0,65 0,88%
30/07/21 13/08/21 R$0,67 0,91%
31/08/21 15/09/21 R$0,67 0,91%
30/09/21 15/10/21 R$0,67 0,91%
29/10/21 16/11/21 R$0,67 0,91%
30/11/21 14/12/21 R$0,68 0,92%
30/12/21 14/01/22 R$0,71 0,97%
31/01/22 14/02/22 R$0,70 0,95%
25/02/22 15/03/22 R$0,70 0,95%
31/03/22 14/04/22 R$0,70 0,95%
29/04/22 13/05/22 R$0,76 1,03%
29/04/22 13/05/22 R$0,70 0,95%
31/05/22 14/06/22 R$0,07 0,00%
30/06/22 14/07/22 R$0,07 0,00%
29/07/22 12/08/22 R$0,07 0,00%
31/08/22 15/09/22 R$0,07 0,00%
30/09/22 17/10/22 R$0,07 0,00%
31/10/22 16/11/22 R$0,07 0,00%
30/11/22 14/12/22 R$0,07 0,00%
29/12/22 13/01/23 R$0,07 0,00%
31/01/23 14/02/23 R$0,07 0,00%
28/02/23 14/03/23 R$0,07 0,00%
31/03/23 17/04/23 R$0,07 0,00%
28/04/23 15/05/23 R$0,07 0,00%
31/05/23 15/06/23 R$0,07 0,00%
30/06/23 14/07/23 R$0,07 0,00%
31/07/23 14/08/23 R$0,07 0,00%
31/08/23 15/09/23 R$0,07 0,00%
----------------------------
🔹 Dividendos Atuais VIUR11 🔹
----------------------------
dataCom  dataPag  Valor divYet
29/09/23 16/10/23 R$0,07 0,00%
