🌐 СТРАНА                      | ☣️  💀  💙  💔
🇺🇸 США                         | 108825982  1178152  106636148  1548
🇮🇳 Индия                       | 44999204  531930  44466791  0
🇫🇷 Франция                     | 40138560  167642  39970918  869
🇩🇪 Германия                    | 38499628  176145  38240600  0
🇧🇷 Бразилия                    | 37827912  705962  36249161  0
🇰🇷 Южная Корея                 | 34571873  35934  34535939  231
🇯🇵 Япония                      | 33803572  74694  0  83
🇮🇹 Италия                      | 26082645  191715  25736785  48
🇬🇧 Великобритания              | 24715857  229307  24480726  0
🇷🇺 Россия                      | 23045833  400077  22482148  0
🇹🇷 Турция                      | 17232066  102174  0  0
🇪🇸 Испания                     | 13914811  121760  13762417  231
🇦🇺 Австралия                   | 11774220  22798  11745992  21
🇻🇳 Вьетнам                     | 11623834  43206  10640857  1
🇹🇼 Тайвань                     | 10241523  19005  10222518  0
🇦🇷 Аргентина                   | 10070247  130608  9939639  363
🇳🇱 Нидерланды                  | 8618815  22992  8594711  53
🇲🇽 Мексика                     | 7649199  334472  6899865  0
🇮🇷 Иран                        | 7617752  146410  7377233  18
🇮🇩 Индонезия                   | 6813429  161918  6646827  0
🇵🇱 Польша                      | 6524464  119654  5335940  53
🇨🇴 Колумбия                    | 6382628  143042  6190683  342
🇬🇷 Греция                      | 6101379  37089  6064290  115
🇦🇹 Австрия                     | 6081287  22542  6054934  14
🇵🇹 Португалия                  | 5623951  27509  5589471  61
🇺🇦 Украина                     | 5557995  112418  5445577  0
🇨🇱 Чили                        | 5293935  64497  5229316  14
🇲🇾 Малайзия                    | 5126683  37175  5078210  4
🇮🇱 Израиль                     | 4839886  12691  4798473  21
🇧🇪 Бельгия                     | 4819546  34376  4775312  43
🇹🇭 Таиланд                     | 4757473  34475  4692636  0
🇨🇦 Канада                      | 4738938  53936  4659015  99
🇨🇿 Чехия                       | 4654097  42859  4607172  11
🇵🇪 Перу                        | 4519976  222161  4297815  4
🇨🇭 Швейцария                   | 4414441  14452  4396008  39
🇵🇭 Филиппины                   | 4174101  66643  4103828  162
🇿🇦 ЮАР                         | 4076463  102595  3912506  192
🇷🇴 Румыния                     | 3468372  68372  3371974  82
🇩🇰 Дания                       | 3183756  8814  3174942  4
🇭🇰 Гонконг                     | 2921527  14274  2903077  28
🇸🇪 Швеция                      | 2718172  24922  2690896  1
🇸🇬 Сингапур                    | 2603819  1885  2149583  3
🇷🇸 Сербия                      | 2560024  18057  2531318  0
🇳🇿 Новая Зеландия              | 2470435  4849  2464120  0
🇮🇶 Ирак                        | 2465545  25375  2439497  21
🇭🇺 Венгрия                     | 2206311  48881  2152155  2
🇧🇩 Бангладеш                   | 2045734  29477  1998448  0
🇸🇰 Словакия                    | 1867647  21167  1846254  3
🇬🇪 Грузия                      | 1855289  17132  1776548  0
🇯🇴 Иордания                    | 1746997  14122  1731007  59
🇮🇪 Ирландия                    | 1721838  9262  1709802  19
🇵🇰 Пакистан                    | 1581867  30664  1538689  0
🇳🇴 Норвегия                    | 1489076  5705  1482549  20
🇫🇮 Финляндия                   | 1486623  10283  1474795  21
🇰🇿 Казахстан                   | 1411831  13848  1383020  24
