 1111 🔑|  1115 💦|   111 💫
 1111 🍺|  1111 💉|  1111 📕
  111 🛌|    11 💊|   111 🧃
    1 🫖|   115 📜|  1121 🍃
  111 🥕|    11 🌫|   111 ❄️
 1111 🟣|   111 🔴|   111 🟡
 1111 🟠|   111 🔵|    11 🟢
 1111 🔘|  1311 💜|   111 🟪
 4111 💰|    11 🎲|     1 👝
   11 💩|     1 🏆|     1 🏀
    1 🍬|     1 🎧|   120 🧱
    1 👊|   111 🚬|     1 🔎
 1114 🆎|    11 😷|     5 🪖
    2 🐈|     1 🏚️|     1 📻
  111 💠|   111 📘|     1 👛
    1 🍓|     1 🍹|     1 🤖
    1 🔌|     1 🚰|     1 🎩
    1 🎱|     1 🧿|    11 ⛄️
    1 🥼|     1 👓|    11 🧤
    1 🧴|    11 🇺🇦|    11 🇰🇿
   11 🇺🇿|    11 🇷🇺|    11 🏳️‍🌈
    1 🇬🇧|    11 🇹🇯|    11 🇫🇷
   11 🇯🇵|    11 🇧🇾|     1 🇺🇸
   11 🇨🇿|    11 🇨🇭|     1 🇲🇻
    1 🇹🇲|     1 🇮🇪|     1 🇸🇪
   11 🇦🇫|     1 🇦🇿|     1 🇬🇪
    1 🇪🇬|     1 🇵🇱|     1 🇰🇷
    1 🎂|     4 🥳|    11 🕳
