День Оригинал  Перевод
1 октября Dream Мечта
2 октября Spiders Пауки
3 октября Path Путь
4 октября Dodge Уклонение
5 октября Map Карта
6 октября Golden Золотой
7 октября Drip Стекать
8 октября Toad Жаба
9 октября Bounce Подпрыгивать
10 октября Fortune Удача
11 октября Wander Блуждать
12 октября Spicey Пряный
13 октября Rise Рост
14 октября Castle Зáмок
15 октября Dagger Кинжал
16 октября Angel Ангел
17 октября Demon Демон
18 октября Saddle Седло
19 октября Plump Пухлый
20 октября Frost Мороз
21 октября Chains Цепи
22 октября Scratchy Царапающий
23 октября Celestial Небесный
24 октября Shallow Мелководье
25 октября Dangerous Опасный
26 октября Remove Удалять
27 октября Beast Зверь
28 октября Sparkle Сверкать
29 октября Massive Массивный
30 октября Rush Торопиться
31 октября Fire Огонь
Таблица с темами Inktober 2023
