|Ticker| 🗓️Pg  |Tipo| Valor  |
|------|:-----:|---:|-------:|
|AIEC  | 09-10 |R   |R$ 0,76
|ATCR  | 09-10 |R   |R$ 0,09
|CACR  | 09-10 |R   |R$ 1,42
|CDUP  | 09-10 |R   |R$ 0,00
|GGRC  | 09-10 |R   |R$ 0,95
|GGRC  | 09-10 |R   |R$ 0,74
|FVPQ  | 09-10 |R   |R$ 1,20
|NVHO  | 09-10 |R   |R$ 0,08
|PATC  | 09-10 |R   |R$ 0,34
|PATL  | 09-10 |R   |R$ 0,60
|QAGR  | 09-10 |R   |R$ 0,43
|RBLG  | 09-10 |R   |R$ 0,95
|RBVO  | 09-10 |R   |R$ 0,03
|VSHO  | 09-10 |R   |R$ 0,74
|VTLT  | 09-10 |R   |R$ 0,88
|VERE  | 10-10 |R   |R$ 2,40
|VISC  | 10-10 |R   |R$ 0,88
|RMAI  | 10-10 |R   |R$ 0,26
|PNCR  | 10-10 |A   |R$ 1,49
|EDFO  | 10-10 |R   |R$ 1,78
|ELDO  | 10-10 |R   |R$ 0,36
|FIIB  | 10-10 |R   |R$ 3,75
|HABT  | 11-10 |R   |R$ 1,00
|HGIC  | 11-10 |R   |R$ 1,06
|CXRI  | 11-10 |R   |R$ 0,58
|CRFF  | 11-10 |R   |R$ 0,63
|KNUQ  | 11-10 |R   |R$ 0,77
|KNHF  | 11-10 |R   |R$ 0,84
|TMPS  | 11-10 |R   |R$ 0,80
|ZAVI  | 11-10 |R   |R$ 1,16
|RBIR  | 13-10 |R   |R$ 2,02
|VRTA  | 13-10 |R   |R$ 0,70
|VCJR  | 13-10 |R   |R$ 0,65
|VCRA  | 13-10 |R   |R$ 1,10
|KNHY  | 13-10 |R   |R$ 0,90
|KNIP  | 13-10 |R   |R$ 0,60
|GESE  | 13-10 |R   |R$ 14,23
|KNCA  | 13-10 |R   |R$ 1,10
|KNCR  | 13-10 |R   |R$ 1,10
|KCRE  | 13-10 |R   |R$ 0,57
|DRIT  | 13-10 |R   |R$ 0,35
|KNSC  | 13-10 |R   |R$ 0,75
|ONEF  | 13-10 |R   |R$ 1,02
|RBOP  | 13-10 |R   |R$ 2,40
|RBFF  | 13-10 |R   |R$ 0,51
|RBTS  | 13-10 |R   |R$ 78,83
|RPRI  | 13-10 |R   |R$ 0,80
|RCRB  | 13-10 |R   |R$ 0,78
|RSPD  | 13-10 |R   |R$ 33,78
|CXTL  | 13-10 |R   |R$ 1,60
|CXCE  | 13-10 |R   |R$ 0,38
|BBFI  | 13-10 |R   |R$ 7,59
|BCRI  | 13-10 |R   |R$ 0,70
|BRCO  | 13-10 |R   |R$ 0,87
|BRIM  | 16-10 |R   |R$ 35,73
|BTHI  | 16-10 |R   |R$ 0,42
|BTSG  | 16-10 |R   |R$ 0,92
|BTWR  | 16-10 |R   |R$ 0,55
|BICR  | 16-10 |A   |R$ 36,00
|BICR  | 16-10 |R   |R$ 0,73
|BIME  | 16-10 |R   |R$ 0,08
|BLMO  | 16-10 |R   |R$ 102,00
|BLMR  | 16-10 |R   |R$ 0,05
|BNFS  | 16-10 |R   |R$ 1,41
|BBFO  | 16-10 |R   |R$ 0,61
|BBGO  | 16-10 |R   |R$ 0,75
|BBIM  | 16-10 |R   |R$ 0,10
|BBPO  | 16-10 |R   |R$ 0,90
|BBRC  | 16-10 |R   |R$ 1,13
|AAZQ  | 16-10 |R   |R$ 0,12
|ARXD  | 16-10 |R   |R$ 1,10
|CXCO  | 16-10 |R   |R$ 0,74
|CYCR  | 16-10 |R   |R$ 0,10
|EURO  | 16-10 |R   |R$ 1,88
|FATN  | 16-10 |R   |R$ 0,85
|FIGS  | 16-10 |R   |R$ 0,45
|CJCT  | 16-10 |R   |R$ 0,08
|CBOP  | 16-10 |R   |R$ 0,12
