СУММА УСЛУГ и Доставка — РАСХОДЫ

      Месяц     Сумма услуг       Расходы      Разница
  январь 22     1441845.38     1731606.62   -289761.24
 февраль 22     1233917.02     1978884.76   -744967.74
    март 22     1956457.78     2467806.89   -511349.11
  апрель 22     2693678.56     2210176.53    483502.03
     май 22     2851124.92     2537696.95    313427.97
    июнь 22     4323812.34      3445769.3    878043.04
    июль 22     5348821.71     3492458.61    1856363.1
  август 22     6493079.22     4510382.66   1982696.56
сентябрь 22     3184604.91     3547882.94   -363278.03
 октябрь 22     2093368.55     6628273.96  -4534905.41
  ноябрь 22     2082849.53     2693758.27   -610908.74
 декабрь 22     3656336.44     3365413.76    290922.68
  январь 23     2352792.75     2022458.35     330334.4
 февраль 23      2325654.0     2328952.31     -3298.31
    март 23     2615467.28     2548176.43     67290.85
  апрель 23     3227997.23      3284067.1    -56069.87
     май 23      3264382.1     3875580.88   -611198.78
    июнь 23     4197378.43     4001457.43     195921.0
    июль 23     6063639.86     3624349.63   2439290.23
  август 23     4846660.97      3573249.5   1273411.47
сентябрь 23      576045.87     3151032.93  -2574987.06
 октябрь 23       90932.85     1195025.64  -1104092.79
