10-06 13:41:24 | 转出 |  89 USDT
10-06 13:13:03 | 转出 |  241 USDT
10-06 13:12:15 | 转出 |  832 USDT
10-06 13:11:21 | 转出 |  489 USDT
10-06 13:09:36 | 转入 |  1651 USDT
10-05 15:19:45 | 转出 |  1394 USDT
10-05 15:16:42 | 转入 |  0.01014 USDT
10-05 15:16:27 | 转出 |  1014 USDT
10-05 14:51:33 | 转出 |  342 USDT
10-05 14:47:57 | 转出 |  178 USDT
10-05 14:46:33 | 转出 |  526 USDT
10-05 14:45:48 | 转出 |  195 USDT
10-05 14:43:21 | 转入 |  0.0157 USDT
10-05 14:43:06 | 转出 |  1570 USDT
10-05 14:41:03 | 转入 |  4384 USDT
10-04 18:38:30 | 转出 |  824 USDT
10-04 18:37:45 | 转入 |  1659.71699 USDT
10-04 13:17:03 | 转出 |  258.04041 USDT
10-04 13:16:15 | 转出 |  580 USDT
10-04 13:14:00 | 转出 |  596 USDT
