  1     1 ms     1 ms    <1 мс  192.168.2.1
  2     *        *        *     Превышен интервал ожидания для запроса.
  3     *        *        *     Превышен интервал ожидания для запроса.
  4     *        *        *     Превышен интервал ожидания для запроса.
  5     *        *        *     Превышен интервал ожидания для запроса.
  6     *        *        *     Превышен интервал ожидания для запроса.
  7     *        *        *     Превышен интервал ожидания для запроса.
  8    28 ms    35 ms    35 ms  31.173.234.58
  9    32 ms    35 ms    25 ms  31.173.234.49
 10   113 ms   115 ms   117 ms  83.169.204.102
 11   103 ms   118 ms     *     188.170.133.1
 12     *        *        *     Превышен интервал ожидания для запроса.
 13     *        *      117 ms  52.93.35.95
 14     *        *      119 ms  52.93.156.190
 15   110 ms   107 ms     *     54.240.241.30
 16     *        *      117 ms  76.76.21.21
