OVO10  = 10.500  | POVO10  = 9.500
OVO15  = 15.500  | POVO15  = 14.500
OVO20  = 20.500  | POVO20  = 19.500
OVO25  = 25.500  | POVO25  = 24.500
OVO30  = 30.500  | POVO30  = 29.500
OVO35  = 35.500  | POVO35  = 34.500
OVO40  = 40.500  | POVO40  = 39.500
OVO45  = 45.500  | POVO45  = 44.500
OVO50  = 50.500  | POVO50  = 49.500
OVO55  = 55.500  | POVO55  = 54.500
OVO60  = 60.500  | POVO60  = 59.500
OVO65  = 65.500  | POVO65  = 64.500
OVO70  = 70.500  | POVO70  = 69.500
OVO75  = 75.500  | POVO75  = 74.500
OVO80  = 80.500  | POVO80  = 79.500
OVO85  = 85.500  | POVO85  = 84.500
OVO90  = 90.500  | POVO90  = 89.500
OVO95  = 95.500  | POVO95  = 94.500
OVO100 = 100.500 | POVO100 = 99.500
OVO150 = 150.500 | POVO150 = 149.500
OVO200 = 200.500 | POVO200 = 199.500
OVO300 = 300.500 | POVO300 = 299.500
OVO400 = 400.500 | POVO400 = 399.500
OVO500 = 500.500 | POVO500 = 499.500

