35379:IDE COMMAND 21 (READ MULT): LBA=2, SC=1
35827:IDE COMMAND 21 (READ MULT): LBA=3, SC=1
36260:IDE COMMAND 21 (READ MULT): LBA=4, SC=1
36693:IDE COMMAND 21 (READ MULT): LBA=5, SC=1
37193:IDE COMMAND 21 (READ MULT): LBA=6, SC=1
37626:IDE COMMAND 21 (READ MULT): LBA=7, SC=1
38071:IDE COMMAND 21 (READ MULT): LBA=8, SC=1
38519:IDE COMMAND 21 (READ MULT): LBA=9, SC=1
38960:IDE COMMAND 21 (READ MULT): LBA=103, SC=1
39410:IDE COMMAND 21 (READ MULT): LBA=1629, SC=1
39851:IDE COMMAND 21 (READ MULT): LBA=1629, SC=1
40284:IDE COMMAND 21 (READ MULT): LBA=1630, SC=1
43521:IDE COMMAND 21 (READ MULT): LBA=102, SC=1
43957:IDE COMMAND 21 (READ MULT): LBA=106, SC=1
44390:IDE COMMAND 21 (READ MULT): LBA=107, SC=1
44823:IDE COMMAND 21 (READ MULT): LBA=108, SC=1
45256:IDE COMMAND 21 (READ MULT): LBA=109, SC=1
45704:IDE COMMAND 21 (READ MULT): LBA=110, SC=1
46137:IDE COMMAND 21 (READ MULT): LBA=111, SC=1
46570:IDE COMMAND 21 (READ MULT): LBA=112, SC=1
47003:IDE COMMAND 21 (READ MULT): LBA=113, SC=1
47436:IDE COMMAND 21 (READ MULT): LBA=114, SC=1
