🔘 𝟏𝟗𝟎𝟒 ➺  भारतीय विश्वविद्यालय अधिनियम पारित

🔘 𝟏𝟗𝟎𝟓 ➺  बंगाल का विभाजन

🔘 𝟏𝟗𝟎𝟔  ➺  मुस्लिम लीग की स्थापना

🔘 𝟏𝟗𝟎𝟕 ➺  सूरत अधिवेशन, कांग्रेस में फूट

🔘 𝟏𝟗𝟎𝟗 ➺  मार्ले-मिंटो सुधार

🔘 𝟏𝟗𝟏𝟏 ➺  ब्रिटिश सम्राट का दिल्ली दरबार

🔘 𝟏𝟗𝟏𝟔 ➺  होमरूल लीग का निर्माण

🔘 𝟏𝟗𝟏𝟔 ➺  मुस्लिम लीग-कांग्रेस समझौता (लखनऊ पैक्ट)

🔘 𝟏𝟗𝟏𝟕 ➺  महात्मा गाँधी द्वारा चंपारण में आंदोलन

🔘 𝟏𝟗𝟏𝟗 ➺  रौलेट अधिनियम

🔘 𝟏𝟗𝟏𝟗 ➺  जलियाँवाला बाग हत्याकांड

🔘 𝟏𝟗𝟏𝟗 ➺  मांटेग्यू-चेम्सफोर्ड सुधार

🔘 𝟏𝟗𝟐𝟎 ➺  खिलाफत आंदोलन

ᴩᴏꜱᴛ ʙʏ :- ʜᴜɴᴛᴇʀ ᴀᴊᴀʏ ʏᴀᴅᴀᴠ🌈
🔘 𝟏𝟗𝟐𝟎 ➺  असहयोग आंदोलन

🔘 𝟏𝟗𝟐𝟐 ➺  चौरी-चौरा कांड

🔘 𝟏𝟗𝟐𝟕 ➺  साइमन कमीशन की नियुक्ति

🔘 𝟏𝟗𝟐𝟖 ➺  साइमन कमीशन का भारत आगमन

🔘 𝟏𝟗𝟐𝟗 ➺  भगतसिंह द्वारा केन्द्रीय असेंबली में बम विस्फोट

🔘 𝟏𝟗𝟐𝟗 ➺  कांग्रेस द्वारा पूर्ण स्वतंत्रता की माँग

🔘 𝟏𝟗𝟑𝟎 ➺  सविनय अवज्ञा आंदोलन

🔘 𝟏𝟗𝟑𝟎 ➺  प्रथम गोलमेज सम्मेलन

🔘 𝟏𝟗𝟑𝟏 ➺  द्वितीय गोलमेज सम्मेलन

🔘 𝟏𝟗𝟑𝟐 ➺  तृतीय गोलमेज सम्मेलन

ᴩᴏꜱᴛ ʙʏ :-ʜᴜɴᴛᴇʀ ᴀᴊᴀʏ ʏᴀᴅᴀᴠ🌈

🔘 𝟏𝟗𝟑𝟐 ➺  सांप्रदायिक निर्वाचक प्रणाली की घोषणा

🔘 𝟏𝟗𝟑𝟐 ➺  पूना पैक्ट

🔘 𝟏𝟗𝟒𝟐 ➺  भारत छोड़ो आंदोलन

🔘 𝟏𝟗𝟒𝟐 ➺  क्रिप्स मिशन का आगमन

🔘 𝟏𝟗𝟒𝟑 ➺  आजाद हिन्द फौज की स्थापना

🔘 𝟏𝟗𝟒𝟔 ➺  कैबिनेट मिशन का आगमन

🔘 𝟏𝟗𝟒𝟔 ➺  भारतीय संविधान सभा का निर्वाचन

🔘 𝟏𝟗𝟒𝟔 ➺  अंतरिम सरकार की स्थापना

🔘 𝟏𝟗𝟒𝟕 ➺  भारत के विभाजन की माउंटबेटन योजना

🔘 𝟏𝟗𝟒𝟕 ➺  भारतीय स्वतंत्रता प्राप्ति
