#  | n           | Token | Gas  | Bribe | Total | Max   | n    | Worth
   | (%)         | Cost  | Cost |       | Spent | Spend | Bal
---|-------------|-------|------|-------|-------|-------|------|------
0  | 611B (61%)  | .000  | .034 | .000  | .034  | .000  | 0    | 0    
1  | 120M (.01%) | .123  | .002 | .310  | .435  | .299  | 0    | 0    
2  | 120M (.01%) | .130  | .001 | .300  | .431  | .299  | 120M | 0.93 
3  | 120M (.01%) | .136  | .001 | .300  | .438  | .299  | 120M | 0.93 
4  | 120M (.01%) | .144  | .001 | .235  | .380  | .299  | 0    | 0    
5  | 120M (.01%) | .151  | .001 | .235  | .388  | .298  | 0    | 0    
6  | 120M (.01%) | .160  | .001 | .235  | .396  | .298  | 0    | 0    
7  | 120M (.01%) | .169  | .001 | .235  | .405  | .298  | 0    | 0    
8  | 120M (.01%) | .179  | .001 | .235  | .415  | .298  | 0    | 0    
9  | 120M (.01%) | .190  | .001 | .235  | .426  | .298  | 0    | 0    
10 | 120M (.01%) | .202  | .001 | .235  | .438  | .298  | 0    | 0    
11 | 120M (.01%) | .215  | .001 | .235  | .452  | .298  | 0    | 0    
12 | 120M (.01%) | .230  | .001 | .235  | .466  | .298  | 0    | 0    
13 | 120M (.01%) | .246  | .001 | .235  | .482  | .298  | 0    | 0    
14 | 91M (.01%)  | .198  | .001 | .212  | .412  | .198  | 91M  | 0.70 
15 | 107M (.01%) | .247  | .001 | .210  | .459  | .248  | 0    | 0    
16 | 81M (.01%)  | .198  | .001 | .070  | .269  | .198  | 0    | 0    
17 | 8M (.00%)   | .020  | .001 | .030  | .051  | .020  | 59M  | 0.45 
18 | 46M (.00%)  | .119  | .001 | .030  | .150  | .119  | 46M  | 0.36 
19 | 8M (.00%)   | .020  | .001 | .030  | .051  | .020  | 122M | 0.94 
20 | 41M (.00%)  | .110  | .001 | .022  | .134  | .110  | 21M  | 0.16 
21 | 16M (.00%)  | .050  | .001 | .010  | .061  | .050  | 0    | 0    
22 | 22M (.00%)  | .069  | .001 | .010  | .081  | .069  | 0    | 0    
23 | 3M (.00%)   | .010  | .001 | .001  | .012  | .010  | 0    | 0    
24 | 119M (.01%) | .391  | .035 | .009  | .435  | .400  | 0    | 0    
25 | 29M (.00%)  | .099  | .001 | .100  | .200  | .099  | 12M  | 0.10 
26 | 6M (.00%)   | .020  | .001 | .008  | .029  | .020  | 0    | 0    
27 | 56M (.01%)  | .200  | .010 | .000  | .210  | .200  | 0    | 0.00 
28 | 14M (.00%)  | .050  | .013 | .000  | .063  | .050  | 19M  | 0.14 
29 | 27M (.00%)  | .100  | .034 | .000  | .134  | .100  | 27M  | 0.21 
30 | 26M (.00%)  | .100  | .059 | .000  | .159  | .100  | 0    | 0.00 
31 | 75M (.01%)  | .300  | .018 | .000  | .318  | .300  | 0    | 0    
32 | 114M (.01%) | .491  | .022 | .000  | .513  | .491  | 613M | 4.75 
33 | 104M (.01%) | .491  | .018 | .000  | .508  | .491  | 300M | 2.33 
34 | 20M (.00%)  | .100  | .002 | .000  | .102  | .100  | 20M  | 0.16 
35 | 24M (.00%)  | .149  | .001 | .000  | .151  | .177  | 515M | 3.99 
36 | 14M (.00%)  | .074  | .001 | .000  | .075  | .074  | 24M  | 0.19 
37 | 38M (.00%)  | .200  | .007 | .000  | .207  | .200  | 38M  | 0.29 
38 | 70M (.01%)  | .390  | .003 | .000  | .393  | .390  | 70M  | 0.54 
39 | 66M (.01%)  | .390  | .003 | .000  | .393  | .390  | 66M  | 0.51 
40 | 110M (.01%) | .899  | .001 | .000  | .900  | 1.08  | 0    | 0    
41 | 13M (.00%)  | 1.000 | .378 | .000  | 1.378 | 1.000 | 25M  | 0.19 
42 | 113K (.00%) | .001  | .010 | .000  | .011  | .001  | 201M | 1.56 
43 | 22M (.00%)  | .200  | .002 | .000  | .202  | .200  | 151M | 1.17 
44 | 110K (.00%) | .001  | .009 | .000  | .010  | .001  | 191M | 1.48 
45 | 110K (.00%) | .001  | .009 | .000  | .010  | .001  | 190K | 0.00
