ID# ATTRIBUTE_NAME          FLAGS    VALUE WORST THRESH FAIL RAW_VALUE
  5 Reallocated_Sector_Ct   PO--CK   100   100   010    -    0
  9 Power_On_Hours          -O--CK   099   099   000    -    3960
 12 Power_Cycle_Count       -O--CK   099   099   000    -    32
177 Wear_Leveling_Count     PO--C-   099   099   000    -    21
179 Used_Rsvd_Blk_Cnt_Tot   PO--C-   100   100   010    -    0
181 Program_Fail_Cnt_Total  -O--CK   100   100   010    -    0
182 Erase_Fail_Count_Total  -O--CK   100   100   010    -    0
183 Runtime_Bad_Block       PO--C-   100   100   010    -    0
187 Uncorrectable_Error_Cnt -O--CK   100   100   000    -    0
190 Airflow_Temperature_Cel -O--CK   067   051   000    -    33
195 ECC_Error_Rate          -O-RC-   200   200   000    -    0
199 CRC_Error_Count         -OSRCK   099   099   000    -    33
235 POR_Recovery_Count      -O--C-   099   099   000    -    30
241 Total_LBAs_Written      -O--CK   099   099   000    -    29147404366
252 Unknown_Attribute       -O--CK   100   100   000    -    0
