    2 🔑|     1 💫|   129 🍺
   15 💉|     1 📕|    18 🛌
    1 💊|     1 🧃|    14 📜
   28 🍃|     3 🥕|     1 🌫
    1 ❄️|     4 🟣|    12 🔴
    5 🟡|     5 🟠|     9 🔵
   15 🟢|     1 🔘|     2 💜
    1 🟪|  2950 💰|     1 🎲
   10 👝|     1 💩|     1 🍬
    1 🧱|     3 🚬|     1 🔎
    1 😷|     1 📻|     4 💠
    1 📘|     2 🍹|     1 🤖
    1 🚰|     1 🎩|     1 🎱
    1 🧿|     1 ⛄️|     1 🥼
    1 👓|     1 🧤|     1 🧴
    1 🇺🇦|     1 🇰🇿|     2 🇺🇿
    1 🇷🇺|     1 🏳️‍🌈|     1 🇬🇧
    1 🇹🇯|     1 🇫🇷|     1 🇯🇵
    1 🇨🇿|     1 🇨🇭|     1 🇲🇻
    1 🇹🇲|     1 🇸🇪|     1 🇨🇺
    1 🇦🇿|     1 🇬🇪|     1 🇪🇬
    1 🇵🇱|     1 🇰🇷|     5 🕳
