 1111 🔑|  1111 💦|   111 💫
 1111 🍺|  1111 💉|  1111 📕
  111 🛌|    11 💊|   111 🧃
    1 🫖|   111 📜|  1111 🍃
  111 🥕|    11 🌫|   111 ❄️
 1111 🟣|   111 🔴|   111 🟡
 1111 🟠|   111 🔵|    11 🟢
 1111 🔘|  1111 💜|   111 🟪
 1111 💰|    11 🎲|     1 👝
   11 💩|     1 🏆|     1 🏀
    1 🍬|     1 🎧|   111 🧱
    1 👊|   111 🚬|     1 🔎
 1098 🆎|    11 😷|     1 🪖
    1 🐈|     1 🏚️|     1 📻
  111 💠|   111 📘|     1 👛
    1 🍓|     1 🍹|     1 🤖
    1 🔌|     1 🚰|     1 🎩
    1 🎱|     1 🧿|    11 ⛄️
    1 🥼|     1 👓|    11 🧤
    1 🧴|    11 🇺🇦|    11 🇰🇿
   11 🇺🇿|    11 🇷🇺|    11 🏳️‍🌈
    1 🇬🇧|    11 🇹🇯|    11 🇫🇷
   11 🇯🇵|    11 🇧🇾|     1 🇺🇸
   11 🇨🇿|    11 🇨🇭|     1 🇲🇻
    1 🇹🇲|     1 🇮🇪|     1 🇸🇪
   11 🇦🇫|     1 🇦🇿|     1 🇬🇪
    1 🇪🇬|     1 🇵🇱|     1 🇰🇷
    1 🎂|     1 🥳|    11 🕳
