🌐 COUNTRY                   | ☣️  💀  💙  💔
🇺🇸 United States            | 108790042  1177937  106585960  1538
🇮🇳 India                    | 44998916  531930  44466458  0
🇫🇷 France                   | 40138560  167642  39970918  869
🇩🇪 Germany                  | 38496870  176122  38240600  0
🇧🇷 Brazil                   | 37827912  705962  36249161  0
🇰🇷 South Korea              | 34571873  35934  34535939  231
🇯🇵 Japan                    | 33803572  74694  0  83
🇮🇹 Italy                    | 26082645  191715  25736785  48
🇬🇧 United Kingdom           | 24704113  229089  24475024  0
🇷🇺 Russia                   | 23045833  400077  22482148  0
🇹🇷 Turkey                   | 17232066  102174  0  0
🇪🇸 Spain                    | 13914811  121760  13762417  231
🇦🇺 Australia                | 11774220  22798  11745992  21
🇻🇳 Vietnam                  | 11623774  43206  10640844  2
🇹🇼 Taiwan                   | 10241523  19005  10222518  0
🇦🇷 Argentina                | 10070247  130608  9939639  363
🇳🇱 Netherlands              | 8618815  22992  8594420  53
🇲🇽 Mexico                   | 7649199  334472  6899865  0
🇮🇷 Iran                     | 7616791  146386  7377233  18
🇮🇩 Indonesia                | 6813429  161918  6646827  0
🇵🇱 Poland                   | 6523940  119653  5335940  53
🇨🇴 Colombia                 | 6382628  143042  6190683  342
🇬🇷 Greece                   | 6101379  37089  6064290  115
🇦🇹 Austria                  | 6081287  22542  6054934  14
🇵🇹 Portugal                 | 5623951  27509  5588097  61
🇺🇦 Ukraine                  | 5557995  112418  5445577  0
🇨🇱 Chile                    | 5293935  64497  5229316  14
🇲🇾 Malaysia                 | 5126683  37175  5078210  4
🇮🇱 Israel                   | 4837580  12670  4798473  21
🇧🇪 Belgium                  | 4817196  34376  4773093  43
🇹🇭 Thailand                 | 4757473  34475  4692636  0
🇨🇦 Canada                   | 4728375  53793  4657632  99
🇨🇿 Czechia                  | 4653089  42853  4606452  14
🇵🇪 Peru                     | 4519976  222161  4297815  4
🇨🇭 Switzerland              | 4414441  14452  4396008  39
🇵🇭 Philippines              | 4174101  66643  4103828  162
🇿🇦 South Africa             | 4076463  102595  3912506  192
🇷🇴 Romania                  | 3455207  68341  3360779  74
🇩🇰 Denmark                  | 3183756  8814  3174942  4
🇭🇰 Hong Kong                | 2920721  14254  2903077  28
🇸🇪 Sweden                   | 2717578  24888  2690694  1
🇸🇬 Singapore                | 2588520  1885  2149583  3
🇷🇸 Serbia                   | 2556026  18057  2531318  0
🇳🇿 New Zealand              | 2470435  4849  2464120  0
🇮🇶 Iraq                     | 2465545  25375  2439497  21
🇭🇺 Hungary                  | 2204488  48881  2152155  2
🇧🇩 Bangladesh               | 2045671  29477  1998448  0
🇸🇰 Slovakia                 | 1867647  21167  1846254  3
🇬🇪 Georgia                  | 1855289  17132  1776548  0
🇯🇴 Jordan                   | 1746997  14122  1731007  59
🇮🇪 Ireland                  | 1721152  9249  1709044  19
🇵🇰 Pakistan                 | 1581867  30664  1538689  0
🇳🇴 Norway                   | 1488692  5667  1482587  20
🇫🇮 Finland                  | 1486084  10265  1474681  21
🇰🇿 Kazakhstan               | 1411831  13848  1383020  24
