🌐 СТРАНА                      | ☣️  💀  💙  💔
🇺🇸 США                         | 108791129  1177958  106586173  1535
🇮🇳 Индия                       | 44998954  531930  44466524  0
🇫🇷 Франция                     | 40138560  167642  39970918  869
🇩🇪 Германия                    | 38496870  176122  38240600  0
🇧🇷 Бразилия                    | 37827912  705962  36249161  0
🇰🇷 Южная Корея                 | 34571873  35934  34535939  231
🇯🇵 Япония                      | 33803572  74694  0  83
🇮🇹 Италия                      | 26082645  191715  25736785  48
🇬🇧 Великобритания              | 24704113  229089  24475024  0
🇷🇺 Россия                      | 23045833  400077  22482148  0
🇹🇷 Турция                      | 17232066  102174  0  0
🇪🇸 Испания                     | 13914811  121760  13762417  231
🇦🇺 Австралия                   | 11774220  22798  11745992  21
🇻🇳 Вьетнам                     | 11623774  43206  10640844  2
🇹🇼 Тайвань                     | 10241523  19005  10222518  0
🇦🇷 Аргентина                   | 10070247  130608  9939639  363
🇳🇱 Нидерланды                  | 8618815  22992  8594420  53
🇲🇽 Мексика                     | 7649199  334472  6899865  0
🇮🇷 Иран                        | 7616791  146386  7377233  18
🇮🇩 Индонезия                   | 6813429  161918  6646827  0
🇵🇱 Польша                      | 6523940  119653  5335940  53
🇨🇴 Колумбия                    | 6382628  143042  6190683  342
🇬🇷 Греция                      | 6101379  37089  6064290  115
🇦🇹 Австрия                     | 6081287  22542  6054934  14
🇵🇹 Португалия                  | 5623951  27509  5588097  61
🇺🇦 Украина                     | 5557995  112418  5445577  0
🇨🇱 Чили                        | 5293935  64497  5229316  14
🇲🇾 Малайзия                    | 5126683  37175  5078210  4
🇮🇱 Израиль                     | 4837580  12670  4798473  21
🇧🇪 Бельгия                     | 4817196  34376  4773093  43
🇹🇭 Таиланд                     | 4757473  34475  4692636  0
🇨🇦 Канада                      | 4728375  53793  4657632  99
🇨🇿 Чехия                       | 4653089  42853  4606452  14
🇵🇪 Перу                        | 4519976  222161  4297815  4
🇨🇭 Швейцария                   | 4414441  14452  4396008  39
🇵🇭 Филиппины                   | 4174101  66643  4103828  162
🇿🇦 ЮАР                         | 4076463  102595  3912506  192
🇷🇴 Румыния                     | 3455207  68341  3360779  74
🇩🇰 Дания                       | 3183756  8814  3174942  4
🇭🇰 Гонконг                     | 2920721  14254  2903077  28
🇸🇪 Швеция                      | 2717578  24888  2690694  1
🇸🇬 Сингапур                    | 2588520  1885  2149583  3
🇷🇸 Сербия                      | 2556026  18057  2531318  0
🇳🇿 Новая Зеландия              | 2470435  4849  2464120  0
🇮🇶 Ирак                        | 2465545  25375  2439497  21
🇭🇺 Венгрия                     | 2204488  48881  2152155  2
🇧🇩 Бангладеш                   | 2045671  29477  1998448  0
🇸🇰 Словакия                    | 1867647  21167  1846254  3
🇬🇪 Грузия                      | 1855289  17132  1776548  0
🇯🇴 Иордания                    | 1746997  14122  1731007  59
🇮🇪 Ирландия                    | 1721152  9249  1709044  19
🇵🇰 Пакистан                    | 1581867  30664  1538689  0
🇳🇴 Норвегия                    | 1488692  5667  1482587  20
🇫🇮 Финляндия                   | 1486084  10265  1474681  21
🇰🇿 Казахстан                   | 1411831  13848  1383020  24
